Regent,fødeår,dødsår,regent_fra,regent_til
Frederik_10.,1968,NA,2024,NA
Margrethe_2.,1940,NA,1972,2024
Frederik_9.,1899,1872,1947,1972
Christian_10.,1870,1947,1912,1947
Frederik_8.,1843,1912,1906,1912
Christian_9.,1818,1906,1863,1906
Frederik_7.,1808,1863,1848,1863
Christian_8.,1786,1848,1839,1848
Frederik_6.,1768,1839,1808,1839
Christian_7.,1749,1808,1766,1808
Frederik_5.,1723,1766,1746,1766
Christian_6.,1699,1746,1730,1746
Frederik_4.,1671,1730,1699,1730
Christian_5.,1646,1699,1670,1699
Frederik_3.,1609,1670,1648,1670
Christian_4.,1577,1648,1588,1648
Frederik_2.,1534,1588,1559,1588
Christian_3.,1503,1559,1534,1559
Frederik_1.,1471,1533,1523,1533
Christian_2.,1481,1559,1513,1523
Hans,1455,1513,1481,1513
Christian_1.,1426,1481,1448,1481
Christoffer_af_Bayern,1416,1448,1440,1448
Erik_af_Pommern,1382,1459,1412,1439
Margrete_1.,1353,1412,1387,1412
Oluf_2.,1370,1387,1375,1387
Valdemar_Atterdag,1320,1375,1340,1375
Christoffer_2.,1276,1332,1329,1332
Valdemar_3.,1315,1364,1326,1329
Christoffer_2.,1276,1332,1320,1326
Erik_Menved,1274,1319,1286,1319
Erik_Klipping,1249,1286,1259,1286
Christoffer_1.,1219,1259,1252,1259
Abel,1218,1252,1250,1252
Erik_Plovpenning,1216,1250,1241,1250
Valdemar_Sejr,1170,1241,1202,1241
Knud_6.,1163,1202,1182,1202
Valdemar_den_Store,1131,1182,1157,1182
Valdemar_den_Store,1131,1182,1146,1157
Knud_Magnussen,1129,1157,1146,1157
Svend_Grathe,1125,1157,1146,1157
Erik_Lam,1120,1146,1137,1146
Erik_Emune,1090,1137,1134,1137
Niels,1063,1134,1104,1134
Erik_Ejegod,1060,1103,1095,1103
Oluf_Hunger,1050,1095,1086,1095
Knud_den_Hellige,1042,1086,1080,1086
Harald_Hen,1040,1080,1076,1080
Svend_Estridsen,1019,1076,1047,1076
Magnus_den_Gode,1024,1047,1042,1047
Hardeknud,1020,1042,1035,1042
Knud_den_Store,995,1035,1018,1035
Harald_2.,NA,1018,1014,1018
Svend_1._Tveskæg_,963,1014,NA,1014
Harald_Blåtand_,NA,986,NA,987
Gorm_den_Gamle,NA,,NA,958
